Folio,Line URNs
urn:cite2:hmt:e4.v1:1r,
urn:cite2:hmt:e4.v1:1v,
urn:cite2:hmt:e4.v1:2r,
urn:cite2:hmt:e4.v1:2v,
urn:cite2:hmt:e4.v1:3r,
urn:cite2:hmt:e4.v1:3v,
urn:cite2:hmt:e4.v1:4r,
urn:cite2:hmt:e4.v1:4v,
urn:cite2:hmt:e4.v1:5r,
urn:cite2:hmt:e4.v1:5v,
urn:cite2:hmt:e4.v1:6r,
urn:cite2:hmt:e4.v1:6v,
urn:cite2:hmt:e4.v1:7r,urn:cts:greekLit:tlg0012.tlg001.e4:1.1-1.34
urn:cite2:hmt:e4.v1:7v,urn:cts:greekLit:tlg0012.tlg001.e4:1.35-1.73
urn:cite2:hmt:e4.v1:8r,urn:cts:greekLit:tlg0012.tlg001.e4:1.74-1.112
urn:cite2:hmt:e4.v1:8v,urn:cts:greekLit:tlg0012.tlg001.e4:1.113-1.151
urn:cite2:hmt:e4.v1:9r,urn:cts:greekLit:tlg0012.tlg001.e4:1.152-1.189
urn:cite2:hmt:e4.v1:9v,urn:cts:greekLit:tlg0012.tlg001.e4:1.190-1.228
urn:cite2:hmt:e4.v1:10r,urn:cts:greekLit:tlg0012.tlg001.e4:1.229-1.268
urn:cite2:hmt:e4.v1:10v,urn:cts:greekLit:tlg0012.tlg001.e4:1.269-1.307
urn:cite2:hmt:e4.v1:11r,urn:cts:greekLit:tlg0012.tlg001.e4:1.308-1.346
urn:cite2:hmt:e4.v1:11v,urn:cts:greekLit:tlg0012.tlg001.e4:1.347-1.386
urn:cite2:hmt:e4.v1:12r,urn:cts:greekLit:tlg0012.tlg001.e4:1.387-1.425
urn:cite2:hmt:e4.v1:12v,urn:cts:greekLit:tlg0012.tlg001.e4:1.426-1.464
urn:cite2:hmt:e4.v1:13r,urn:cts:greekLit:tlg0012.tlg001.e4:1.465-1.503
urn:cite2:hmt:e4.v1:13v,urn:cts:greekLit:tlg0012.tlg001.e4:1.504-1.542
urn:cite2:hmt:e4.v1:14r,urn:cts:greekLit:tlg0012.tlg001.e4:1.543-1.581
urn:cite2:hmt:e4.v1:14v,urn:cts:greekLit:tlg0012.tlg001.e4:1.582-1.611
urn:cite2:hmt:e4.v1:15r,urn:cts:greekLit:tlg0012.tlg001.e4:2.1-2.37
urn:cite2:hmt:e4.v1:15v,urn:cts:greekLit:tlg0012.tlg001.e4:2.38-2.76
urn:cite2:hmt:e4.v1:16r,urn:cts:greekLit:tlg0012.tlg001.e4:2.77-2.
urn:cite2:hmt:e4.v1:16v,
urn:cite2:hmt:e4.v1:17r,
urn:cite2:hmt:e4.v1:17v,
