Sequence,URNs
1,urn:cts:greekLit:tlg0012.tlg001.e4:1.1-
2,urn:cts:greekLit:tlg0012.tlg001.e4:1.XXX-1.244
3,urn:cts:greekLit:tlg0012.tlg001.e4:1.245-1.253
4,urn:cts:greekLit:tlg0012.tlg001.e4:1.254-1.284
5,urn:cts:greekLit:tlg0012.tlg001.e4:1.285-1.291
6,urn:cts:greekLit:tlg0012.tlg001.e4:1.292-1.303
7,urn:cts:greekLit:tlg0012.tlg001.e4:1.304-1.325
8,urn:cts:greekLit:tlg0012.tlg001.e4:1.326-1.344
9,urn:cts:greekLit:tlg0012.tlg001.e4:1.345-1.356
10,urn:cts:greekLit:tlg0012.tlg001.e4:1.357-1.363
11,urn:cts:greekLit:tlg0012.tlg001.e4:1.364-1.412
12,urn:cts:greekLit:tlg0012.tlg001.e4:1.413-1.427
13,urn:cts:greekLit:tlg0012.tlg001.e4:1.428-1.445
14,urn:cts:greekLit:tlg0012.tlg001.e4:1.446-1.456
15,urn:cts:greekLit:tlg0012.tlg001.e4:1.457-1.510
16,urn:cts:greekLit:tlg0012.tlg001.e4:1.511-1.543
17,urn:cts:greekLit:tlg0012.tlg001.e4:1.544-1.550
18,urn:cts:greekLit:tlg0012.tlg001.e4:1.551-1.559
19,urn:cts:greekLit:tlg0012.tlg001.e4:1.560-1.567
20,urn:cts:greekLit:tlg0012.tlg001.e4:1.568-1.583
21,urn:cts:greekLit:tlg0012.tlg001.e4:1.584-1.594
22,urn:cts:greekLit:tlg0012.tlg001.e4:1.595-1.611
23,urn:cts:greekLit:tlg0012.tlg001.e4:1.
24,urn:cts:greekLit:tlg0012.tlg001.e4:1.



