“Observation”,”TextUrn”,”Image”,”Comments”
"urn:cite2:opO112.2017a:86r1","urn:cts:greekLit:tlg0012.tlg001.msE4:10.77","",""
"urn:cite2:opO112.2017a:86r2","urn:cts:greekLit:tlg0012.tlg001.msE4:10.77","",""
"urn:cite2:opO112.2017a:86r3","urn:cts:greekLit:tlg0012.tlg001.msE4:10.77","",""
"urn:cite2:opO112.2017a:86r4","urn:cts:greekLit:tlg0012.tlg001.msE4:10.77","",""
"urn:cite2:opO112.2017a:86r5","urn:cts:greekLit:tlg0012.tlg001.msE4:10.77","",""
"urn:cite2:opO112.2017a:86r6","urn:cts:greekLit:tlg0012.tlg001.msE4:10.77","",""
"urn:cite2:opO112.2017a:86r7","urn:cts:greekLit:tlg0012.tlg001.msE4:10.77","",""
"urn:cite2:opO112.2017a:86r8","urn:cts:greekLit:tlg0012.tlg001.msE4:10.77","",""
"urn:cite2:opO112.2017a:86r9","urn:cts:greekLit:tlg0012.tlg001.msE4:10.77","",""
"urn:cite2:opO112.2017a:86r10","urn:cts:greekLit:tlg0012.tlg001.msE4:10.77","",""
"urn:cite2:opO112.2017a:86r11","urn:cts:greekLit:tlg0012.tlg001.msE4:10.77","",""
"urn:cite2:opO112.2017a:86r12","urn:cts:greekLit:tlg0012.tlg001.msE4:10.77","",""
"urn:cite2:opO112.2017a:86r13","urn:cts:greekLit:tlg0012.tlg001.msE4:10.77","",""
"urn:cite2:opO112.2017a:86r14","urn:cts:greekLit:tlg0012.tlg001.msE4:10.77","",""
"urn:cite2:opO112.2017a:86r15","urn:cts:greekLit:tlg0012.tlg001.msE4:10.77","",""
"urn:cite2:opO112.2017a:86r16","urn:cts:greekLit:tlg0012.tlg001.msE4:10.77","",""
"urn:cite2:opO112.2017a:86r17","urn:cts:greekLit:tlg0012.tlg001.msE4:10.77","",""
"urn:cite2:opO112.2017a:86r18","urn:cts:greekLit:tlg0012.tlg001.msE4:10.77","",""
"urn:cite2:opO112.2017a:86r19","urn:cts:greekLit:tlg0012.tlg001.msE4:10.77","",""
"urn:cite2:opO112.2017a:86r20","urn:cts:greekLit:tlg0012.tlg001.msE4:10.77","",""
"urn:cite2:opO112.2017a:86r21","urn:cts:greekLit:tlg0012.tlg001.msE4:10.77","",""
"urn:cite2:opO112.2017a:86r22","urn:cts:greekLit:tlg0012.tlg001.msE4:10.77","",""
