"Folio","Image","IliadLine","ImageROI"
"urn:cite2:hmt:e4.v1:85v","urn:cite2:hmt:e4img.2017a:e4_160","urn:cts:greekLit:tlg0012.tlg001:10.38","urn:cite2:hmt:e4img.2017a:e4_160@0.2557,0.1290,0.3309,0.02563"
"urn:cite2:hmt:e4.v1:85v","urn:cite2:hmt:e4img.2017a:e4_160","urn:cts:greekLit:tlg0012.tlg001:10.39","urn:cite2:hmt:e4img.2017a:e4_160@0.2631,0.1498,0.3296,0.02249"
"urn:cite2:hmt:e4.v1:85v","urn:cite2:hmt:e4img.2017a:e4_160","urn:cts:greekLit:tlg0012.tlg001:10.40","urn:cite2:hmt:e4img.2017a:e4_160@0.2607,0.1672,0.3296,0.02249"
"urn:cite2:hmt:e4.v1:85v","urn:cite2:hmt:e4img.2017a:e4_160","urn:cts:greekLit:tlg0012.tlg001:10.41","urn:cite2:hmt:e4img.2017a:e4_160@0.2636,0.1820,0.3351,0.02431"
"urn:cite2:hmt:e4.v1:85v","urn:cite2:hmt:e4img.2017a:e4_160","urn:cts:greekLit:tlg0012.tlg001:10.42","urn:cite2:hmt:e4img.2017a:e4_160@0.2458,0.2030,0.3559,0.02050"
"urn:cite2:hmt:e4.v1:85v","urn:cite2:hmt:e4img.2017a:e4_160","urn:cts:greekLit:tlg0012.tlg001:10.43","urn:cite2:hmt:e4img.2017a:e4_160@0.2619,0.2189,0.3256,0.02067"
"urn:cite2:hmt:e4.v1:85v","urn:cite2:hmt:e4img.2017a:e4_160","urn:cts:greekLit:tlg0012.tlg001:10.44","urn:cite2:hmt:e4img.2017a:e4_160@0.2589,0.2363,0.3264,0.02183"
"urn:cite2:hmt:e4.v1:85v","urn:cite2:hmt:e4img.2017a:e4_160","urn:cts:greekLit:tlg0012.tlg001:10.45","urn:cite2:hmt:e4img.2017a:e4_160@0.2622,0.2551,0.3264,0.02067"
"urn:cite2:hmt:e4.v1:85v","urn:cite2:hmt:e4img.2017a:e4_160","urn:cts:greekLit:tlg0012.tlg001:10.46","urn:cite2:hmt:e4img.2017a:e4_160@0.2584,0.2707,0.3304,0.02166"
"urn:cite2:hmt:e4.v1:85v","urn:cite2:hmt:e4img.2017a:e4_160","urn:cts:greekLit:tlg0012.tlg001:10.47","urn:cite2:hmt:e4img.2017a:e4_160@0.2579,0.2884,0.3304,0.02464"
"urn:cite2:hmt:e4.v1:85v","urn:cite2:hmt:e4img.2017a:e4_160","urn:cts:greekLit:tlg0012.tlg001:10.48","urn:cite2:hmt:e4img.2017a:e4_160@0.2597,0.3069,0.3435,0.02464"
"urn:cite2:hmt:e4.v1:85v","urn:cite2:hmt:e4img.2017a:e4_160","urn:cts:greekLit:tlg0012.tlg001:10.49","urn:cite2:hmt:e4img.2017a:e4_160@0.2522,0.3247,0.3435,0.02464"
"urn:cite2:hmt:e4.v1:85v","urn:cite2:hmt:e4img.2017a:e4_160","urn:cts:greekLit:tlg0012.tlg001:10.50","urn:cite2:hmt:e4img.2017a:e4_160@0.2582,0.3401,0.3251,0.02464"
"urn:cite2:hmt:e4.v1:85v","urn:cite2:hmt:e4img.2017a:e4_160","urn:cts:greekLit:tlg0012.tlg001:10.51","urn:cite2:hmt:e4img.2017a:e4_160@0.2599,0.3578,0.3336,0.02464"
